task_id,task_label,mode,mode_label,median_abs_score_delta,p90_abs_score_delta,detectable_fraction,mass_balance_error_max,behaviorally_distinguishable,noncatastrophic
reaction-to-crystallization,Crystallization,rate_law_family,rate law,0.005395930374447633,0.008988664365448143,0.6,0.0,True,True
reaction-to-crystallization,Crystallization,topology_family,topology,0.024971755624650593,0.04556116506596497,1.0,0.0,True,True
reaction-to-distillation,Distillation,rate_law_family,rate law,0.005724089535387111,0.026859883844542302,0.52,0.0,True,True
reaction-to-distillation,Distillation,topology_family,topology,0.006669382228034565,0.0584084436175883,0.52,0.0,True,True
electrochemical-conversion,Electrochemistry,constitutive_law_family,constitutive,0.043634657626771656,0.14895201685317405,1.0,0.0,True,True
equilibrium-characterization,Equilibrium,constitutive_law_family,constitutive,0.025259572038645928,0.025368939923373846,1.0,0.0,True,True
flow-reaction-optimization,Flow reaction,rate_law_family,rate law,0.029338209685376555,0.06822782336988845,0.8,0.0,True,True
flow-reaction-optimization,Flow reaction,topology_family,topology,0.012019057625642517,0.019726174104711475,0.6,0.0,True,True
partition-discovery,Partition,constitutive_law_family,constitutive,0.013653593743976233,0.02131883636487374,1.0,0.0,True,True
