layer,component,passed
control,confirmatory_freeze,True
control,exploit_matrix,True
control,interaction_contract,True
control,live_llm,True
control,mechanism_families,True
control,method_protocol,True
control,public_harness,True
control,reference_regret,True
control,risk_cost,True
control,rl_substrate,True
control,score_replay,True
control,semantic_invariance,True
control,task_validity,True
control,world_family_axes,True
formal evidence,confirmatory_results,False
formal evidence,exploit_resistance_results,False
formal evidence,generalization_security,False
formal evidence,live_llm_results,False
formal evidence,mechanism_adaptation,False
formal evidence,method_matrix,False
formal evidence,reference_regret_results,False
formal evidence,rl_results,False
formal evidence,score_replay_results,False
formal evidence,task_validity_confirmation,False
